feature,mean_|shap|
Min Packet Size,0.1256605048523172
Std Packet Size,0.031350984533248666
Max Packet Size,0.026332043703213466
Total Bytes,0.02366183652037322
Packet Count,0.023475398328403684
Min Inter-Arrival,0.02145005775697544
Max Inter-Arrival,0.021253566323546597
Std Inter-Arrival,0.01858770261894298
Avg Packet Size,0.018028563094171925
Avg Inter-Arrival,0.016578878472604454
Pkts / Second,0.014745982265260731
Bytes / Second,0.013699900735541826
Incoming Pkt Ratio,0.010911552731594358
Flow Duration,0.0107262079740305
